experiment_id	date	commit	track	hypothesis	metric_name	metric_value	baseline_value	relative_delta	direction	status	artifact_path	notes
AR_BF16_DELTANET_STATE_E2E_B48	2026-05-04	uncommitted	autoresearch twelfth cycle	measure E2E impact of bf16 state at warm-decode-b48 with 3 reproductions; theoretical bandwidth save 144 MB * 48 layers = 6.9 GB / 307 GB/s = ~22 ms/step (~9% E2E if linear)	decode_tok_s	192.5	193.9	-0.007	higher	diagnostic	/tmp/b48_bf16state_run{1b,2,3}.jsonl	3 runs: 192.8 / 191.3 / 193.5 mean 192.5 +/- 1.1. Statistically indistinguishable from cycle-10 baseline 193.9 +/- 0.6. Theoretical 22 ms/step bandwidth save did NOT translate to E2E. Possible reasons (none confirmed): (i) state R/W overlaps with weights traffic on the unified-memory bus; (ii) per-(b,hv) state fits L2/SLC and the 144 MB figure over-counts HBM; (iii) per-step Python dispatch overhead is the actual ceiling, not bandwidth. Combined v10+bf16 ran 190.7 (single, slightly lower; not synergistic). chunk=32 fails warmup-stability oracle (re-confirms cycle 4/5 finding). 193 tok/s is the actual production hardware ceiling at warm-decode-b48 in current mlx eager-execution model.
AR_BF16_AGG_B52	2026-05-04	uncommitted	autoresearch thirteenth cycle	register warm-decode-b52 scenario; bf16 DeltaNet state frees 3.5 GB peak letting B-axis push past cycle-10 cap; oracle pass; 3 reproductions; NEW STRICT-ENVELOPE RUNNING-BEST	decode_tok_s	200.8	193.9	0.036	higher	keep	/tmp/b52_bf16_run{1,2,3}.jsonl	3 reps: 199.3 / 202.3 / 200.9 mean 200.8 +/- 1.5 tok/s; status ok all 3 runs; peak 35.52 GB (within 36 GB envelope); 4.76x cycle-1 baseline; Delta vs cycle-10 baseline 193.9 +/- 0.6 = 6.9 tok/s = 4.3 sigma above pooled noise floor; CLEARS 3 sigma keep threshold. Compositional with cycle-12 bf16 state correctness probe.
AR_BF16_AGG_B56	2026-05-04	uncommitted	autoresearch thirteenth cycle	register warm-decode-b56 scenario; bf16 state; over 36 GB envelope	decode_tok_s	212.2	193.9	0.094	higher	diagnostic	/tmp/b56_bf16_run1.jsonl	Single run 212.2 tok/s, peak 36.9 GB (over 36 GB envelope by 0.9 GB); within 48 GB hardware. Diagnostic: not strict-envelope keep but useful data point on the per-row scaling curve.
AR_BF16_AGG_B60	2026-05-04	uncommitted	autoresearch thirteenth cycle	register warm-decode-b60 scenario; bf16 state	decode_tok_s	219.1	193.9	0.130	higher	diagnostic	/tmp/b60_bf16_run1.jsonl	Single run 219.1 tok/s, peak 38.5 GB. Outside 36 GB envelope; within 48 GB hardware.
AR_BF16_AGG_B64	2026-05-04	uncommitted	autoresearch thirteenth cycle	register warm-decode-b64 scenario; bf16 state; oracle pass; 3 reproductions; DEMONSTRATED CEILING within 48 GB hardware	decode_tok_s	229.8	193.9	0.185	higher	keep	/tmp/b64_bf16_run{1,2,3}.jsonl	3 reps: 229.3 / 232.0 / 228.0 mean 229.8 +/- 2.0 tok/s; status ok all 3 runs; peak 40.01 GB (over strict 36 GB envelope, within 48 GB hardware ceiling); 5.45x cycle-1 baseline; Delta vs cycle-10 baseline 193.9 +/- 0.6 = 35.9 tok/s = 18 sigma. Listed as KEEP on the relaxed-envelope (48 GB hardware) ladder; not strict-envelope keep per AR.md 36 GB policy.
AR_BF16_AGG_B72	2026-05-04	uncommitted	autoresearch thirteenth cycle	register warm-decode-b72 scenario; bf16 state; probe ceiling beyond B=64	decode_tok_s	173.2	229.8	-0.246	higher	discard	/tmp/b72_bf16_run1.jsonl	Single run 173.2 tok/s, wall 278s (more than double B=64's 143s). Peak 43.4 GB. Regime change past ~40 GB peak: likely allocator pressure / SLC cache spill / virtual memory. The empirical ceiling for this workload is B~64. Discard.
AR_BF16_AGG_B53	2026-05-04	uncommitted	autoresearch fourteenth cycle	probe whether B=53 fits within 36 GB envelope and lifts running-best vs B=52	decode_tok_s	202.2	200.8	0.007	higher	diagnostic	/tmp/b53_bf16_run1.jsonl	Single run 202.2 tok/s, peak 35.91 GB (within 36 GB envelope, 482 MB headroom over B=52). Within noise band of B=52 = 200.8 +/- 1.5. The extra batch row's headroom doesn't translate to a new kept improvement. B=52 is the within-envelope sweet spot for discrete-row workloads.
AR_BF16_AGG_B66	2026-05-04	uncommitted	autoresearch fourteenth cycle	bracket the regime cliff between B=64 (good) and B=72 (regressed) at B=66	decode_tok_s	166.8	229.8	-0.274	higher	discard	/tmp/b66_bf16_run1.jsonl	Single run 166.8 tok/s, peak 40.79 GB. Past the cliff: B=64 (peak 40.01 GB) = 229.8, B=66 (peak 40.79 GB) = 166.8 = 26 percent throughput drop. Cliff is sharp at exactly 40 GB peak. Likely M5 Pro SLC or allocator threshold.
AR_BF16_AGG_B68	2026-05-04	uncommitted	autoresearch fourteenth cycle	confirm the cliff persists past B=66	decode_tok_s	169.1	229.8	-0.264	higher	discard	/tmp/b68_bf16_run1.jsonl	Single run 169.1 tok/s, peak 41.79 GB. Past the cliff. Confirms the regime change at ~40 GB peak. The empirical hardware ceiling for this workload is B=64.
AR_V10_BF16_STACK_B52	2026-05-04	uncommitted	autoresearch fourteenth cycle	stack flash_attention_decode_v10 (cycle 11) with bf16 DeltaNet state (cycle 12) and B=52 axis-shift (cycle 13); 3 reproductions; NEW WITHIN-ENVELOPE RUNNING-BEST	decode_tok_s	206.2	200.8	0.027	higher	keep	/tmp/b52_combined_run{1,2,3}.jsonl	3 reps: 206.3 / 205.7 / 206.7 mean 206.2 +/- 0.5; status ok all 3 runs; peak 35.52 GB (within 36 GB envelope); 4.89x cycle-1 baseline. Delta +5.4 tok/s vs cycle-13 B=52 bf16-only = 3.4 sigma. CLEARS 3 sigma keep threshold. Compositional win: C11 v10 attention + C12 bf16 state + C13 B-axis extension all stack. Validates that cycle-12 "v10 alone at B=48 = no E2E delta" was correct at that B but the kernel becomes load-bearing once the axis-shift relocates the bottleneck.
AR_V10_BF16_STACK_B64	2026-05-04	uncommitted	autoresearch fourteenth cycle	stack v10 + bf16 + cycle-13 hardware-ceiling B=64 axis-shift; 3 reproductions; NEW DEMONSTRATED CEILING within 48 GB hardware	decode_tok_s	232.2	229.8	0.010	higher	keep	/tmp/b64_combined_run{1,2,3}.jsonl	3 reps: 232.3 / 231.8 / 232.5 mean 232.2 +/- 0.3 tok/s; status ok all 3 runs; peak 40.01 GB (over strict 36 GB envelope, within 48 GB hardware); 5.51x cycle-1 baseline. Delta +2.4 vs cycle-13 B=64 bf16-only (1.2 sigma vs pooled noise but consistent across all 3 runs). Listed as KEEP on the relaxed-envelope (48 GB hardware) ladder.
AR_C15_B53_STACK	2026-05-04	uncommitted	autoresearch fifteenth cycle	v10+bf16 stack at B=53 (one extra batch row vs B=52 within 36 GB envelope)	decode_tok_s	205.2	206.2	-0.005	higher	diagnostic	/tmp/b53_combined_run1.jsonl	Single run 205.2 tok/s, peak 35.91 GB. Within noise of B=52 KEEP (206.2 +/- 0.5). The 482 MB headroom doesn't translate to a new strict-envelope KEEP. B=52 stays the within-envelope sweet spot.
AR_C15_CHUNK2_FAIL	2026-05-04	uncommitted	autoresearch fifteenth cycle	probe SILICA_DECODE_CHUNK=2 on B=52 v10+bf16 to amortise per-step Python sync; cycle-4 chunk=32 failed at B=48 stability gate; chunk=2 is the smallest possible chunk	stability_gate_pass	0	1	-1	higher	discard	/tmp/b52_chunk2_run1.jsonl	OOG: warm_decode_row_0_warmup_did_not_stabilize:boundary=368_intervals=383. Even chunk=2 produces spiky per-step intervals incompatible with warm-decode oracle. Re-confirms cycle 4/5/12 finding. Chunked-decode path is structurally incompatible with the production stability gate.
AR_C15_SILU_MUL_STACK	2026-05-04	uncommitted	autoresearch fifteenth cycle	stack SILICA_USE_FUSED_SILU_MUL=1 with v10+bf16 at B=52; SwiGLU activation fusion in DeltaNet MLP	decode_tok_s	204.6	206.2	-0.008	higher	discard	/tmp/b52_silu_run1.jsonl	Single run 204.6 tok/s, slightly below v10+bf16 baseline 206.2. Fused-SwiGLU's launch overhead exceeds the saved HBM passes at B=52. Same finding as cycle 1 silu_mul probe at B=4 (1.006x speedup, honest negative). Does not stack net-positively.
AR_C15_SPLITK_256	2026-05-04	uncommitted	autoresearch fifteenth cycle	probe v8 SPLIT_K=256 (fewer K-splits) at B=52 v10+bf16	decode_tok_s	202.7	206.2	-0.017	higher	discard	/tmp/b52_split256_run1.jsonl	Single run 202.7 tok/s. Fewer splits at typical T_kv (256 -> 1 split, 512 -> 2 splits) leaves K-axis parallelism on table. SPLIT_K=128 cycle-11 default stays optimal.
AR_C15_SPLITK_64	2026-05-04	uncommitted	autoresearch fifteenth cycle	probe v8 SPLIT_K=64 (more K-splits) at B=52 v10+bf16	decode_tok_s	203.3	206.2	-0.014	higher	discard	/tmp/b52_split64_run1.jsonl	Single run 203.3 tok/s. More splits produce more merge-kernel launches, costing gain. SPLIT_K=128 cycle-11 default stays optimal.
AR_C16_QMM_HALF4_RETIRED	2026-05-04	uncommitted	autoresearch sixteenth cycle	inspect mlx QMM source for missed half4 vectorization opportunity (cycle 11 trick that beat mlx FA)	mlx_qmm_already_vectorized	1	0	0	higher	diagnostic	mlx/include/mlx/backend/metal/kernels/quantized.h	Confirmed via line 707: mlx qmv_quad already loads 4 uint32 per thread (= 16 bytes / 32 packed 4-bit weights) per access. Half4 retrofit cannot beat mlx; cycles 7-9 retirement of silica QMM stands. The cycle-11 FA win came from GQA tile sharing (a structural advantage mlx didn't take), not from raw vectorization. mlx's QMM has no analogous structural opportunity for us.
AR_C16_MX_COMPILE_PROBE	2026-05-04	uncommitted	autoresearch sixteenth cycle	probe mx.compile on synthetic 3-op chain and on Qwen3NextAttention forward to estimate dispatch-overhead reduction	speedup	0.94	1.0	-0.06	higher	diagnostic	/tmp/probe_mx_compile.py /tmp/probe_compile_layer.py	Synthetic 3-op chain: 0.91-0.94x (compile overhead exceeds savings at small op count). Qwen3NextAttention forward without cache mutation: 1.08x (modest, comes from fusing post-cache elementwise). Real cache-aware decode mutates cache.update_and_fetch which mx.compile cannot trace. Pre/post split + integration would be 4-6 hours for a maybe-2 percent E2E gain. Not pursued further this cycle.
AR_C16_B4_STACK_REGRESSION	2026-05-04	uncommitted	autoresearch sixteenth cycle	verify cycle-14 v10+bf16 stack at the cycle-1 baseline B=4 to confirm regime-specificity	decode_tok_s	41.1	42.17	-0.025	higher	diagnostic	/tmp/b4_combined_run1.jsonl	v10+bf16 stack at B=4 = 41.1 tok/s, regression of 2.5 percent vs cycle-1 baseline 42.17. Confirms cycle-12 finding that v10 is load-bearing only at higher B where the dispatch overhead is amortised. The stack is regime-specific.
AR_C17_COMPILED_MLP_RETIRED	2026-05-04	uncommitted	autoresearch seventeenth cycle	wrap Qwen3NextMLP forward with mx.compile to amortise per-layer dispatch; expected ~2-4 percent E2E if dispatch dominated MLP time	speedup	1.027	1.0	0.027	higher	diagnostic	/tmp/probe_compile_qmlp.py	Synthetic Qwen3.5-shape MLP at B=52 4-bit: uncompiled 5.6951 ms vs compiled 5.5464 ms = 1.027x speedup (2.7 percent). Across 64 MLP calls per decode step the projected E2E delta is ~0.5 percent (below warm-decode oracle noise floor of ~0.5 percent on 207 tok/s). Patch retired. mx.compile cannot fuse across the 3 heavy quantized_matmul kernels in MLP; only the small SwiGLU activation between them (which is already fused via _precise_swiglu's existing @mx.compile). Reaffirms cycle 16 finding: no local lift on the existing lever set.
AR_C18_COMPILED_QMM_RETIRED	2026-05-04	uncommitted	autoresearch eighteenth cycle	wire mx.compile through mx.quantized_matmul directly with weight/scales/biases as compile arguments to capture per-MLP dispatch save	speedup	1.019	1.0	0.019	higher	diagnostic	/tmp/probe_compile_qmlp_v2.py	Synthetic Qwen3.5-shape MLP at B=52 4-bit with mx.quantized_matmul direct: 2.0776 ms uncompiled vs 2.0381 ms compiled = 1.019x (1.9 percent). Correctness bit-exact (max-abs = 0.00e+00). Across 64 MLPs per decode step the projected E2E delta is ~1 percent, below warm-decode oracle noise floor. Even smaller than cycle 17's 1.027x baseline because the dispatch overhead isn't where time is going at production scale. Confirms cycle-17 conclusion: mx.compile on quantized linears at production B does not move the running-best.
AR_C19_EXTENDED_COVERAGE	2026-05-04	uncommitted	autoresearch nineteenth cycle	extend C.5 beta.2 top-b coverage probe to b in {1, 4, 8, 16, 32, 64, 128, 256, 512, 1000}; user authorised research loop to push accept rate from 9 percent to 40 percent	coverage_at_64	0.4051	0.4	0.013	higher	diagnostic	plans/P6_C5_DDTREE/extended_coverage_probe.jsonl	Coverage curve at the production target/drafter pairing (mlx-community/Qwen3.5-27B-4bit x Qwen/Qwen3.5-0.8B): @1=0.063 / @4=0.143 / @8=0.198 / @16=0.258 / @32=0.341 / @64=0.4051 / @128=0.499 / @256=0.605 / @512=0.703 / @1000=0.767. Rank stats: p25=15 / median=129 / p75=848 / p95+=outside-top-1000 (~23 percent tail). Coverage at 64 crosses the 40 percent user threshold; tree-spec at b=64 has structural headroom. Cycle 20 will measure verify-cost scaling to decide between tree-spec implementation (cycle 21+) vs drafter-side distillation research (cycles 22+).
AR_C20_VERIFY_COST_SUBLINEAR	2026-05-04	uncommitted	autoresearch twentieth cycle	measure target verify cost vs k on Qwen3.5-27B-4bit at warm cache T_kv=128; tree-spec viability decision	verify_cost_p50_ms_k64	188.81	60.12	2.140	lower	diagnostic	plans/P6_C5_DDTREE/verify_cost_probe.jsonl	Verify cost is highly sub-linear: k=1 -> 60.12 ms / k=64 -> 188.81 ms = 3.14x cost for 64x tokens. Per-token verify drops 20x (60ms -> 2.95ms) from k=1 to k=64. The k=8 to k=64 plateau (164 -> 188 ms = +14 percent absolute) shows weights-bandwidth + DeltaNet state dominance over k-dependent attention compute. Tree-spec at b=64 is computationally feasible. Cycle 21 will pursue building minimal tree-spec OR drafter-side improvements first.
AR_C21_DRAFTER_SURVEY_CLOSED	2026-05-04	uncommitted	autoresearch twenty-first cycle	survey off-the-shelf drafter candidates (Qwen3.5-4B, NexVeridian Qwen3.5-27B-3bit) against the cycle-19 0.8B baseline; check whether scaling/architecture-alignment lifts coverage@1 above the 6.3 percent baseline	max_coverage_at_1	0.080	0.063	0.270	higher	diagnostic	plans/P6_C5_DDTREE/coverage_qwen3_5_4b.jsonl plans/P6_C5_DDTREE/coverage_qwen3_5_27b_3bit.jsonl	Three drafter candidates measured against 4-bit target. Coverage@1: 0.063 (0.8B) / 0.074 (4B) / 0.080 (27B-3bit). Coverage@64: 0.405 (0.8B) / 0.391 (4B) / 0.393 (27B-3bit). Drafter scaling and architecture-alignment produce only 27 percent relative lift on @1 (still 8 percent absolute). The 4-bit target distribution is the structural bottleneck regardless of drafter choice. Confirms cycle-1 reorientation finding. Drafter arm closed; tree-spec at b=64 (40.5 percent ceiling per cycle 19) is the only remaining path to the user's >40 percent goal. 0.8B stays canonical drafter for any tree-spec implementation given its 3x lower cost vs 27B-3bit.
AR_C22_TREE_SPEC_DESIGN	2026-05-04	uncommitted	autoresearch twenty-second cycle	design-only — propose 3 paths: minimal tree-spec build (5 days, +30 percent at B=52 projected); distillation drafter training (multi-day, biggest upside); close research with cycle 19-21 findings	design_only_decision_pending	1	0	0	higher	diagnostic	plans/P6_AUTORESEARCH/REPORT_KERNEL_CYCLE_22.md	Cycle 22 is a no-code design report. Cycles 19-21 produced substantive findings: coverage@64=40.5 percent, verify cost sub-linear, drafter scale doesn't help. The user's research question (can we hit 40 percent accept rate?) has a yes-answer via b=64 tree-spec. Whether to invest 5 working days building it OR train distillation drafter (multi-day, GPU train budget) OR close research is the user decision point.
AR_C23_BATCHED_VERIFY_COST_DEAD_END	2026-05-04	uncommitted	autoresearch twenty-third cycle	measure target verify cost at B in {1, 4, 16, 52} k in {1, 4, 16, 64} to validate the cycle-22 270 tok/s projection	verify_cost_p50_ms_b52_k64	8105	189	41.9	lower	discard	plans/P6_C5_DDTREE/batched_verify_cost.jsonl	Critical negative for spec-decode: verify cost at B=52 k=64 = 8105 ms = 42x of B=1 k=64 = 189 ms. Cost matrix shows B and k multiply (not add). Cycle 22's 270 tok/s projection used B=1 cost (190 ms) and is wrong. Tree-spec at B=52 b=64 produces only 10 tok/s aggregate (vs 206 plain). Linear-spec at B=52 produces ~10 tok/s aggregate. NO B regime in {1, 4, 16, 52} where spec-decode improves on plain decode on this stack. The 40 percent accept rate is structurally feasible (cycle 19) but the verify-cost wall at high B prevents throughput gain. C14 v10+bf16 stack at 206 envelope / 232 ceiling stands as the load-bearing deliverable. Cycles 19-23 close the spec-decode research thread.
AR_C24_MLX_PIN_HARDENED	2026-05-04	uncommitted	autoresearch twenty-fourth cycle	pin default project lock to the final-report safe MLX stack after discovering uv.lock still resolved to the known-bad 0.31.2/0.31.3 stack	test_p2_preload_parity_pass_count	3	1	2.0	higher	keep	plans/P6_AUTORESEARCH/REPORT_KERNEL_CYCLE_24.md	pyproject.toml now pins mlx==0.31.1, mlx-lm==0.31.2, and mlx-metal==0.31.1 on Darwin; uv.lock regenerated from mlx 0.31.2 / mlx-lm 0.31.3 / mlx-metal 0.31.2 down to the safe stack. Default uv run now reports packaging 26.1, mlx 0.31.1, mlx-lm 0.31.2, mlx-metal 0.31.1. uv run pytest tests/test_p2_preload_parity.py -q passes 3/3 after removing a stale malformed packaging-26.2.dist-info directory from .venv. This is a measurement-foundation keep, not a throughput keep.
AR_C25_B52_REVERIFY_UV_MISS	2026-05-04	uncommitted	autoresearch twenty-fifth cycle	reverify cycle-14 B=52 v10+bf16 running-best under default uv path before opening the 40 GB cliff probe	decode_tok_s	185.30	206.2	-0.101	higher	diagnostic	plans/P6_AUTORESEARCH/c25_b52_reverify.jsonl	3 uv-run reproductions: 185.5 / 187.1 / 183.3 tok/s, mean 185.3 +/- 1.9, peak ~35 GB. Same pinned MLX versions as conda but ~10 percent slower; invalid as the P-6 perf measurement path until attributed.
AR_C25_B52_REVERIFY_CONDA_MISS	2026-05-04	uncommitted	autoresearch twenty-fifth cycle	reverify cycle-14 B=52 v10+bf16 running-best under conda python control path	decode_tok_s	200.14	206.2	-0.029	higher	diagnostic	plans/P6_AUTORESEARCH/c25_b52_python_recheck.jsonl	3 conda reproductions: 205.5 / 201.3 / 193.6 tok/s, mean 200.1 +/- 6.0, peak 35.52 GB. First run nearly matches the old line, then drifts. Instrumentation found fa_v10_calls=0 before cycle-26 repair because Qwen3.5 activations are bf16 and shadow_install only allowed fp16 queries.
AR_C26_BF16_FA_KERNEL	2026-05-04	uncommitted	autoresearch twenty-sixth cycle	add bf16-native vectorized v8/v10 FA-decode Metal sources and allow v10 shadow install on bf16 Qwen3.5 activations	fa_bf16_speedup_t512	1.37	1.0	0.37	higher	keep	plans/P6_AUTORESEARCH/REPORT_KERNEL_CYCLE_26.md	Focused tests pass 55/55. v10 fires on production 27B decode after patch (fa_v10_calls=16 on 2 generated tokens). B=52 bf16 gated microbench speedups vs MLX: T128 2.14x, T256 1.63x, T512 1.37x, T1024 1.28x with max-abs <=2.44e-4. Kernel/microbench keep; shadow flag remains default OFF.
AR_C26_BF16_FA_E2E_B52	2026-05-04	uncommitted	autoresearch twenty-sixth cycle	end-to-end B=52 with bf16-native FA-decode path after cycle-26 repair; test whether microbench win restores strict-envelope running-best	decode_tok_s	197.05	206.2	-0.044	higher	diagnostic	plans/P6_AUTORESEARCH/c26_b52_bf16_fa_run1.jsonl	2 runs: 204.0 / 190.0 tok/s, mean 197.0; peak 35.52 GB. Does not clear the 207.7 tok/s keep threshold and is too noisy for a primary-metric keep. Treat as E2E diagnostic only; next run should start from a clean/cool machine state before 40 GB cliff profiling.
AR_C27_V10_ATTRIBUTION_CORRECTION	2026-05-04	uncommitted	autoresearch twenty-seventh cycle	merge codex review (opus-codex branch); verify bf16 v10 path actually fires; re-measure B=52 with and without v10 to isolate kernel contribution	decode_tok_s_b52_v10_minus_bf16only	0.5	0	inf	higher	keep_revision	plans/P6_AUTORESEARCH/REPORT_KERNEL_CYCLE_27.md	Codex (GPT-5.5) review found cycle-12 dtype defect: shadow_install checked queries.dtype == mx.float16 but Qwen3.5-27B-4bit decode is bf16. v10 never fired in cycles 12/14/15+ E2E. Codex landed bf16-native v10 source + admitted bf16 in shadow path. Cycle 27 verified post-merge: v10 fires correctly (16 calls per decode step). B=52 reverify with v10 firing (n=5): 204.7 +/- 1.2. B=52 bf16-only baseline (n=3): 204.2 +/- 1.1. Delta = +0.5 tok/s = within noise (Δ/σ ≈ 0.3). v10 microbench wins (1.28-2.14x over mlx) do not translate to E2E at B=52 because attention is small fraction of step time. Cycle-14's claimed "+5.4 tok/s = 3.4 sigma KEEP from v10+bf16 stack" was attribution error: v10 was not firing AND small n=3 σ underestimated true run-to-run variance. Honest revised within-envelope running-best: 204.5 +/- ~1.5 tok/s at B=52 bf16 state alone, attributed to C10 axis-shift × C12 bf16 peak-save (not v10 kernel). 4.85x cycle-1 baseline (vs claimed 4.89x). (1b) milestone still cleared 3.41x.
AR_C28_B64_V10_REGRESSION	2026-05-04	uncommitted	autoresearch twenty-eighth cycle	re-measure B=64 hardware ceiling under post-merge v10 path; isolate v10 contribution at the demonstrated ceiling	decode_tok_s_b64_v10_minus_bf16only	-1.7	0	-inf	higher	keep_revision	plans/P6_AUTORESEARCH/REPORT_KERNEL_CYCLE_28.md	B=64 bf16+v10 (n=3, v10 firing): 228.4/230.8/231.5 = 230.2 +/- 1.6. B=64 bf16-only (n=3): 231.6/232.1/231.9 = 231.9 +/- 0.3. Delta = -1.7 tok/s = v10 marginally HURTS at B=64. Pooled sigma 1.63 so Delta/sigma 1.04 (within noise but consistently negative). Combined with cycle 27 B=52 result (+0.5 within noise), v10 has zero or slightly negative E2E contribution at production B in {52, 64}. Hardware ceiling corrected to bf16-only at B=64 = 231.9 +/- 0.3 tok/s (5.50x cycle-1). v10 microbench wins (1.28-2.14x over mlx) do not translate to E2E because dispatch overhead from the shadow_install Python wrapper exceeds the kernel-level savings at this B. v10 stays in inventory as correctness-validated kernel for future workloads with larger attention fraction.
AR_C29_CLIFF_ARCHITECTURAL	2026-05-04	uncommitted	autoresearch twenty-ninth cycle	probe whether the 40 GB peak cliff (B=64 -> B=66 boundary) can be moved via mx.metal.set_cache_limit / set_memory_limit / set_wired_limit	b66_tok_s	166	166.8	-0.005	higher	discard	plans/P6_AUTORESEARCH/REPORT_KERNEL_CYCLE_29.md	Three allocator-hint probes at B=66: (i) cache_limit=44 GB + memory_limit=46 GB -> 165.8 (vs default 166.8); (ii) cache_limit=1 GB forces aggressive eviction -> 166.5; (iii) wired_limit=40 GB -> OOM kIOGPUCommandBufferCallbackErrorOutOfMemory. The 40 GB peak cliff is unchanged across all settings tried = architectural, not allocator policy. Likely M5 Pro SLC threshold or unified memory bandwidth contention as resident pressure approaches 48 GB system cap. Hardware ceiling B=64 / 232 tok/s is the genuine production ceiling. To break further: mlx 0.32+ async-copy (external) or mx.compile graph-trace cache rerouting (4-6 hour integration). Autoresearch loop reaches legitimate closed state.
AR_C30_DECODE_ATTRIBUTION_B64	2026-05-04	uncommitted	autoresearch thirtieth cycle	per-step decomposition at B=64 with v10+bf16 stack to identify dominant cost component	deltanet_share_pct	87.9	74.2	0.184	higher	diagnostic	/tmp/c30_decode_attr_b64.jsonl plans/P6_AUTORESEARCH/REPORT_KERNEL_CYCLE_30.md	Per-step decomposition at B=64 (v10+bf16 stack, instrumented): DeltaNet 87.9 percent / full-attn 12.5 percent / overhead 0.3 percent. Compare cycle-1 at B=4 (DeltaNet 74.2 / full-attn 21.9 / overhead 4.0). DeltaNet share GREW from 74 to 88 percent because state R/W scales with B (144 MB per layer at fp32 / 72 MB at bf16; 48 layers x 64 batches). Per-layer cost: linear 1108 ms / full 472 ms (instrumented inflates absolute numbers but proportions are informative). Full-attention's diminishing share explains why cycle 11/14 v10 FA-decode kernel had no E2E impact: the layer family is now small fraction. DeltaNet at 88 percent is the true E2E bottleneck. mlx gated_delta_kernel uses scalar half/bf16 reads in inner loops; same v6->v7 half4 vectorization opportunity exists. Cycle 31 will write a custom silica DeltaNet kernel with bfloat4 vectorized state R/W.
AR_C31_DELTANET_V2_PARITY	2026-05-04	uncommitted	autoresearch thirty-first cycle	apply v6->v7 half4/bfloat4 vectorization to DeltaNet recurrent kernel; production shape Hk=16 Hv=48 Dk=Dv=128	deltanet_v2_speedup_b64	1.001	1.0	0.001	higher	diagnostic	silica/kernels/gated_delta_v2.py scripts/bench_gated_delta_v2.py plans/P6_AUTORESEARCH/REPORT_KERNEL_CYCLE_31.md	silica gated_delta_v2 microbench at production shape: B=4 -> 1.25x (launch-overhead-limited), B=16 -> 0.985x, B=52 -> 1.013x, B=64 -> 1.001x. Correctness PASS (3e-5 fp16 ULP at all B, matching mlx). mlx's existing gated_delta kernel is already at near-HBM-bandwidth limit on state R/W; vectorization changes load instruction count but not data volume, and load throughput isn't the bottleneck. The cycle-11 v6->v7 trick that gave 1.4-1.7x on FA-decode does not transfer to DeltaNet. Cycle 30's identification of DeltaNet as 87.9 percent share at B=64 does NOT yield a reachable kernel lever. Cycle 1-29 ceiling stands.
AR_C33_B52_VARIANCE_CHARACTERIZATION	2026-05-04	uncommitted	autoresearch thirty-third cycle	characterize between-session variance at B=52 bf16-only running-best	combined_b52_bf16_sigma	0.83	1.5	-0.45	lower	diagnostic	plans/P6_AUTORESEARCH/REPORT_KERNEL_CYCLE_33.md	6 reps across 2 sessions: cycle 27 (205.0/204.6/202.9 = 204.2 +/- 1.1) + cycle 33 (203.0/203.8/203.2 = 203.3 +/- 0.4). Combined mean 203.75 +/- 0.83 in same uv environment with warm cache. Within-session sigma 0.4-1.1, between-session drift 0.9, total combined ~1 tok/s. Codex c25's 185.3 likely cold-start / env anomaly. Honest running-best: B=52 bf16-only = 204 +/- 1 tok/s (n=6).
AR_C34_MOE_PORTABILITY_KEEP	2026-05-04	uncommitted	autoresearch thirty-fourth cycle	apply cycles 12+13 bf16-state and axis-shift levers to MoE 35B-A3B-4bit; test methodology portability across Qwen3.5 family	moe_b64_bf16_tok_s	464.4	188.5	1.464	higher	keep_secondary	plans/P6_AUTORESEARCH/REPORT_KERNEL_CYCLE_34.md	NEW MoE secondary-track running-best: 464.4 tok/s at B=64 with bf16 DeltaNet state (peak 33.8 GB within 36 GB envelope). 2.46x cycle-1 MoE B=4 baseline of 188.5. B-sweep: 181 (B=4) -> 242 (B=8) -> 306 (B=16) -> 385 (B=32) -> 434 (B=48) -> 464 (B=64) -> 448 (B=80, regression past ~37 GB cliff). Cycles 12+13 levers transfer cleanly via inherited Qwen3_5MoeAdapter and shared gated_delta module shadow patch. Per AR.md secondary-track classification; primary dense 27B running-best (204 envelope / 232 hardware) unchanged. Validates cycles 12+13 methodology is generalisable across Qwen3.5 family, not dense-27B-specific.
AR_C35_MOE_B64_REPRO	2026-05-04	uncommitted	autoresearch thirty-fifth cycle	tighten cycle-34 MoE B=64 within-envelope KEEP with 2 additional reproductions for sigma characterisation	moe_b64_bf16_tok_s_n3	464.1	464.4	-0.001	higher	diagnostic	/tmp/c35_moe_b64_run2.jsonl /tmp/c35_moe_b64_run3.jsonl	2 fresh-session reps add to cycle-34 run-1 (464.4): run-2 = 464.7, run-3 = 463.3. Combined n=3 mean 464.1 +/- 0.7 (extremely tight sigma). Confirms cycle-34 B=64 within-envelope KEEP at 33.8 GB peak. MoE secondary-track running-best within strict 36 GB envelope stays at B=64 = 464.1 +/- 0.7 tok/s.
